name,link,sub,memory_load,day,annotation_file_name,annotation_file_link
suj15_l2nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj15_l2nap_day1.vmrk,15,2,1,suj15_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd29ad5a101f912a668
suj15_l2nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj15_l2nap_day1.vhdr,15,2,1,suj15_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd29ad5a101f912a668
Suj15_l5nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/Suj15_l5nap_day2.eeg,15,5,2,suj15_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd46c613b01f87f10ad
Suj15_l5nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/Suj15_l5nap_day2.vmrk,15,5,2,suj15_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd46c613b01f87f10ad
Suj15_l5nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/Suj15_l5nap_day2.vhdr,15,5,2,suj15_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd46c613b01f87f10ad
suj16_l5nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj16_l5nap_day1.eeg,16,5,1,suj16_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd46c613b01fd7f10b5
suj16_l5nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj16_l5nap_day1.vmrk,16,5,1,suj16_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd46c613b01fd7f10b5
suj16_l5nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj16_l5nap_day1.vhdr,16,5,1,suj16_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd46c613b01fd7f10b5
suj16_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj16_l2nap_day2.eeg,16,2,2,suj16_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd96c613b01fb7f10ad
suj16_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj16_l2nap_day2.vmrk,16,2,2,suj16_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd96c613b01fb7f10ad
